x_id,x_idregion_y1,proi1_y1,proi2_y1,proi3_y1,proi4_y1,proi5_y1,proi6_y1,proi7_y1,proi8_y1,inf1_y1,inf2_y1,inf3_y1,enrl1_y1,enrl_epi,enrl_epi2,ad_age,ad_gender,ad_field,ad_inst1,ad_need1,ad_need2,ad_inc1,ad_inc2,ad_award1,ad_award2,ad_unmet1,ad_unmet2,ad_inc3,ad_inc4,ad_loan1,ad_grant1,ad_asset1,ad_tuition1,ad_recip1,ad_ncb1,ad_cag1,ad_loan2,ad_bursary1,ad_loan3,ad_award3,enrl1_y2,proi_scale
ON21-14217,35,5,4,4,5,1,1,3,2,5,5,1,1,45.1001,45,19,1,32,3518,3388,1093,NA,87271,3388,3388,0,0,200,NA,3388,0,NA,NA,1,36440,0,1093,0,2295,2295,1,35
ON21-14218,35,5,5,4,5,2,2,2,4,5,5,5,1,26.0101,26,18,0,32,3520,8542,1096,NA,87271,8542,8542,0,0,NA,NA,8542,0,NA,NA,1,36440,0,1096,0,7446,7446,1,33
ON21-14220,35,5,5,5,5,4,2,2,2,5,5,4,1,52.0201,52,18,0,30,3527,8740,2301,NA,39823,8740,8740,0,0,4000,NA,6439,2301,NA,NA,1,41336,1,2301,0,4138,6439,1,34
ON21-14221,35,5,4,5,5,2,2,5,4,4,2,4,1,24.0102,24,18,0,32,3517,10960,2191,NA,24417,11203,11203,243,-243,2300,NA,9012,2191,NA,NA,1,36440,1,2191,0,6821,9012,1,30
ON21-14223,35,4,4,3,3,4,1,2,1,5,5,3,1,52.0201,52,18,1,15,3558,3444,480,NA,57969,3444,3444,0,0,NA,NA,3444,0,NA,NA,1,36440,0,480,0,2964,2964,1,30
ON21-14225,35,5,5,3,5,1,1,5,5,4,5,4,1,14.0701,14,18,1,35,3518,10716,1631,NA,46284,8061,8061,2655,2655,1500,1500,8061,0,NA,NA,1,36440,0,1631,0,6430,6430,1,30
ON21-14229,35,4,5,5,4,2,2,2,4,5,2,1,1,48.0507,48,19,1,20,3531,11025,747,NA,70794,11825,11825,800,-800,4800,NA,11825,0,NA,NA,1,36440,0,747,0,11078,11078,1,32
ON21-14233,35,4,4,5,4,4,3,1,1,5,5,5,1,15.1202,15,20,1,20,3534,4914,960,NA,36134,4914,4914,0,0,NA,NA,3954,960,NA,NA,1,36440,1,960,0,2994,3954,1,32
ON21-14234,35,5,4,4,3,2,3,3,4,2,2,3,1,24.0102,24,19,0,32,3520,10849,2192,NA,29574,10849,10849,0,0,NA,NA,8657,2192,NA,NA,1,36440,1,2192,0,6465,8657,2,28
ON21-14237,35,4,5,3,5,2,1,4,2,5,5,2,1,42.0101,42,18,1,32,3521,9213,2163,NA,25622,9213,9213,0,0,3500,NA,7050,2163,NA,NA,1,36440,1,2163,0,4887,7050,1,32
ON21-14239,35,5,5,5,3,4,1,3,3,5,5,5,1,14.1901,14,18,1,35,3527,4166,1666,NA,60543,4166,4166,0,0,4500,1000,4166,0,NA,NA,1,36440,0,1666,0,2500,2500,1,31
ON21-14241,35,5,5,3,3,4,2,3,5,5,1,5,1,52.0201,52,18,0,30,3516,9524,2175,NA,21302,9524,9524,0,0,3000,NA,7349,2175,NA,NA,1,36440,1,2175,0,5174,7349,1,26
ON21-14243,35,3,4,2,2,3,2,5,5,3,4,3,1,45.0401,45,19,0,32,3522,8467,1486,NA,46716,8467,8467,0,0,6000,NA,8467,0,NA,NA,1,36440,0,1486,0,6981,6981,1,20
ON21-14246,35,5,5,5,4,4,2,2,3,4,5,4,1,52.0201,52,18,0,32,3524,7709,1967,NA,14697,7709,7709,0,0,NA,NA,5742,1967,NA,NA,1,36440,1,1967,0,3775,5742,1,32
